id;leassets_file_type_name;leassets_file_medium_type;description;file_template;file_template_content_type;leassetsfile_type
1;Pizza orchid optimizing;DOC;digital;../fake-data/blob/hipster.png;image/png;CURRENCY_LIST
2;Mouse online;POWERPOINT;Market driver;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_ACQUISITION
3;Vietnam;POWERPOINT;Games;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_DEPRECIATION
4;Sports mobile;EXCEL_CSV;Salad;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_NBV
5;parallelism virtual Bhutanese;EXCEL_XML;Delaware;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_ACQUISITION
6;plum;POWERPOINT;Argentina Soap Tennessee;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_NBV
7;indigo navigating strategize;EXCEL_CSV;leading;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_DEPRECIATION
8;IB Maine alliance;EXCEL_XLSB;Grocery optimal;../fake-data/blob/hipster.png;image/png;CURRENCY_LIST
9;Web;EXCEL_XLS;fault-tolerant;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_DEPRECIATION
10;architectures;TEXT;purposes deposit;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_NBV
