id;description;file_name;period_from;period_to;leassets_file_type_id;data_file;data_file_content_type;upload_successful;upload_processed;upload_token
1;Response Associate;Outdoors Delaware envisioneer;2021-03-27;2021-03-28;58965;../fake-data/blob/hipster.png;image/png;true;true;paradigms panel Iowa
2;protocol Estates Borders;redundant orchestrate metrics;2021-03-28;2021-03-28;80490;../fake-data/blob/hipster.png;image/png;false;false;payment auxiliary Bedfordshire
3;Corners alarm;Loan;2021-03-27;2021-03-28;80527;../fake-data/blob/hipster.png;image/png;false;false;exuding synthesize
4;Rupee hack;Intelligent Indiana Director;2021-03-28;2021-03-27;93257;../fake-data/blob/hipster.png;image/png;true;false;disintermediate Ruble index
5;interface Solutions;Legacy Human;2021-03-28;2021-03-27;32515;../fake-data/blob/hipster.png;image/png;false;false;withdrawal withdrawal Bacon
6;Cheese 1080p projection;Soap;2021-03-28;2021-03-27;80168;../fake-data/blob/hipster.png;image/png;false;true;Berkshire invoice Intelligent
7;Bedfordshire Granite Internal;Awesome;2021-03-27;2021-03-27;28375;../fake-data/blob/hipster.png;image/png;true;true;South
8;Norway;haptic wireless;2021-03-27;2021-03-28;15280;../fake-data/blob/hipster.png;image/png;true;true;Buckinghamshire deposit plug-and-play
9;Licensed connecting;Cambridgeshire;2021-03-28;2021-03-28;18913;../fake-data/blob/hipster.png;image/png;false;false;infrastructures Direct
10;withdrawal Shirt Up-sized;scale compressing interface;2021-03-27;2021-03-27;91258;../fake-data/blob/hipster.png;image/png;true;false;Account primary tertiary
